Categorie_Majeure;Sous_Categorie;Message_Utilisateur;Niveau_Urgence;Ville_Detectee;Date_Detectee;Horizon_Temporel_Normalise;Jours_Estimation;Urgence_Deduite;Contrainte_Ville;Contrainte_Disponibilite;Impact_Geo
Logement et Installation;Garde-meuble;Départ en formation longue durée de 6 mois depuis Le Havre, besoin stocker mes affaires en sécurité à prix raisonnable;Court terme;;;PLANNED;90.0;SHORT_TERM;NATIONAL;RAPIDE;1
Famille;Mode de garde partagé;Recherche famille militaire pour garde partagée d'enfants sur Belfort, nos horaires décalés compliquent l'organisation;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;1
Banque et financement;Découvert bancaire;Situation financière tendue suite à frais de mutation à Valence, besoin augmenter mon autorisation de découvert temporairement;Immédiat;;;IMMEDIATE;;IMMEDIATE;NATIONAL;24/7;0
Administratif;Déclaration impôts;Première déclaration après mutation à Besançon, situation complexe avec revenus multiples, besoin aide d'un expert comptable;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;1
Besoins de dernière minute;Vétérinaire;Mon chien s'est blessé gravement à Ajaccio, besoin consultation vétérinaire d'urgence disponible ce soir;Immédiat;;2026-01-22;IMMEDIATE;0.0;IMMEDIATE;NATIONAL;24/7;2
Santé;Orthodontie;Mon fils de 14 ans à Mulhouse a besoin d'un appareil dentaire, recherche orthodontiste acceptant nouveaux patients rapidement;Standard;Mulhouse;;SHORT_TERM;7.0;STANDARD;PREFERRED;RAPIDE;1
Emploi;Reconversion militaire;Après 20 ans de service, je souhaite devenir pompier professionnel à Tours, besoin infos sur passerelles et démarches;Planifié;;;PLANNED;;PLANNED;NATIONAL;ALL;0
Véhicule;Expertise accident;Accident responsable hier à Chambéry, besoin expert automobile pour constater dégâts et gérer dossier assurance;Court terme;;;SHORT_TERM;;SHORT_TERM;NATIONAL;RAPIDE;1
Assurance;Assurance emprunteur;Rachat crédit immobilier en cours à La Rochelle, ma banque impose nouvelle assurance emprunteur trop chère, cherche alternative;Standard;;;PLANNED;90.0;STANDARD;NATIONAL;ALL;0
Logement et Installation;Bail meublé;Besoin relecture contrat location meublée à Troyes avant signature, clauses mobilité semblent floues, conseil juridique souhaité;Court terme;;;SHORT_TERM;;SHORT_TERM;NATIONAL;RAPIDE;1
Travaux;Peinture intérieure;Logement de fonction à Angoulême nécessite rafraîchissement avant notre arrivée prévue dans 3 semaines;Planifié;;2026-02-12;SHORT_TERM;21.0;PLANNED;NATIONAL;RAPIDE;1
Formation;Habilitation électrique;Pour mes nouvelles fonctions à Niort, je dois passer mes habilitations électriques B2V BR BC, recherche centre agréé;Court terme;;;SHORT_TERM;;SHORT_TERM;NATIONAL;RAPIDE;1
Famille;Soutien scolaire;Mon fils décroche scolairement depuis nos 3 mutations en 2 ans, besoin professeur particulier patient à Vannes pour math et français;Standard;;;PLANNED;90.0;STANDARD;NATIONAL;ALL;1
Épargne;Assurance-vie;Je souhaite ouvrir une assurance-vie à Pau pour épargner en vue de la retraite, besoin conseils sur meilleurs contrats militaires;Standard;;;PLANNED;90.0;STANDARD;NATIONAL;ALL;1
Administratif;Carte Vitale;Ma carte vitale est illisible suite à mutation à Saint-Étienne, besoin remplacement rapide avant mes RDV médicaux de la semaine;Court terme;Saint-Étienne;;SHORT_TERM;;SHORT_TERM;PREFERRED;RAPIDE;1
Soutien psychologique;Traumatisme SSPT;Symptômes post-traumatiques suite à dernière opex, besoin psychologue formé EMDR sur région de Bayonne;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;0
Besoins de dernière minute;Traiteur;Réception imprévue pour délégation étrangère après-demain à Metz, besoin traiteur pour 30 personnes, buffet protocolaire;Immédiat;Metz;2026-01-23;IMMEDIATE;0.0;IMMEDIATE;PREFERRED;24/7;2
Logement et Installation;Diagnostic immobilier;Vente de mon appartement à Dunkerque avant mutation, besoin diagnostics obligatoires (DPE, amiante, plomb) rapidement;Court terme;;;SHORT_TERM;7.0;SHORT_TERM;NATIONAL;RAPIDE;1
Véhicule;Révision technique;Ma voiture a 15000 km à Béziers, besoin révision complète avant long trajet vacances prévu dans 10 jours;Standard;;2026-02-01;SHORT_TERM;10.0;STANDARD;NATIONAL;RAPIDE;1
Banque et financement;Épargne salariale;Question sur déblocage anticipé épargne salariale à Lorient pour financer travaux résidence principale suite mutation;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;0
Santé;Allergologue;Allergies respiratoires importantes depuis arrivée à Épinal, besoin bilan allergologique complet et traitement adapté;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;1
Emploi;CV et lettre motivation;Préparation candidatures emploi civil à Nîmes pour fin de contrat dans 4 mois, besoin aide professionnelle rédaction dossiers;Planifié;;2026-05-22;PLANNED;120.0;PLANNED;NATIONAL;ALL;1
Famille;Activités enfants;Recherche centre aéré et activités mercredi pour mes 3 enfants suite arrivée à Charleville-Mézières il y a 2 semaines;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;1
Retraite;Maison de retraite;Ma mère de 82 ans nécessite hébergement médicalisé proche de mon domicile à Colmar, recherche EHPAD avec places disponibles;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;1
Assurance;Garantie accident vie;Départ en mission à risque depuis Tarbes dans 6 semaines, besoin renforcer mes garanties décès et invalidité pour ma famille;Court terme;;2026-03-05;SHORT_TERM;42.0;SHORT_TERM;NATIONAL;RAPIDE;0
Travaux;Toiture;Infiltrations d'eau constatées dans maison à Bourges après fortes pluies, besoin couvreur pour diagnostic et devis réparations;Standard;Bourges;;STANDARD;;STANDARD;PREFERRED;SEMAINE;1
Administratif;Naturalisation conjoint;Mon épouse étrangère souhaite demander la nationalité française à Pau après 5 ans de mariage, besoin aide constitution dossier;Planifié;;;PLANNED;;PLANNED;NATIONAL;ALL;1
Véhicule;Dépannage remorquage;Panne mécanique sur autoroute près d'Auxerre, voiture immobilisée, besoin dépanneuse pour ramener véhicule au garage;Immédiat;;;IMMEDIATE;0.0;IMMEDIATE;NATIONAL;24/7;2
Formation;Sécurité incendie;Besoin de recycler mon SSIAP 1 à Cherbourg avant expiration dans 2 mois pour maintenir mes qualifications;Court terme;;2026-05-15;PLANNED;112.0;SHORT_TERM;NATIONAL;RAPIDE;1
Logement et Installation;Emménagement assisté;Personne seule avec mobilité réduite suite accident, mutation sur Laval, besoin aide complète pour emménagement et installation;Planifié;;;PLANNED;;PLANNED;NATIONAL;ALL;2
Besoins de dernière minute;Informatique;Mon ordinateur portable a planté à Évry avec tous mes dossiers de travail, intervention informatique urgente avant présentation demain;Immédiat;;2026-01-23;IMMEDIATE;0.0;IMMEDIATE;NATIONAL;24/7;2
Santé;Podologue;Douleurs plantaires importantes à Blois dues aux marches quotidiennes, besoin semelles orthopédiques sur mesure rapidement;Standard;;;IMMEDIATE;0.0;STANDARD;NATIONAL;24/7;1
Famille;Périscolaire;Inscription cantine et garderie pour septembre à Quimper, démarches compliquées, besoin aide pour constitution dossier complet;Planifié;;;PLANNED;;PLANNED;NATIONAL;ALL;1
Véhicule;Pneumatiques;Mes pneus sont usés à Lens, contrôle technique refuse ma voiture, besoin changement 4 pneus rapidement à prix raisonnable;Court terme;;;SHORT_TERM;7.0;SHORT_TERM;NATIONAL;RAPIDE;1
Banque et financement;Rachat assurance prêt;Mon assurance emprunteur actuelle à Carcassonne est trop coûteuse, recherche délégation assurance pour économiser sur mensualités;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;0
Banque et financement;Crédit consommation;Je veux acheter du mobilier pour mon nouvel appartement à Nancy, recherche un crédit avec taux préférentiel militaire;Standard;Nancy;;STANDARD;;STANDARD;PREFERRED;SEMAINE;0
Banque et financement;Crédit consommation;Je veux acheter du mobilier pour mon nouvel appartement à Lyon, recherche un crédit avec taux préférentiel militaire;Standard;Lyon;;STANDARD;;STANDARD;PREFERRED;SEMAINE;0
Soutien psychologique;Thérapie de couple;Tensions conjugales dues aux mutations répétées, besoin thérapeute spécialisé couples militaires sur Avignon;Standard;Avignon;;STANDARD;;STANDARD;PREFERRED;SEMAINE;0
Soutien psychologique;Thérapie de couple;Tensions conjugales dues aux mutations répétées, besoin thérapeute spécialisé couples militaires sur Paris;Standard;Paris;;STANDARD;;STANDARD;PREFERRED;SEMAINE;0
Emploi;Reconversion militaire;Après 20 ans de service, je souhaite devenir pompier professionnel à Tours, besoin infos sur passerelles et démarches;Planifié;Tours;;PLANNED;;PLANNED;PREFERRED;ALL;1
Emploi;Reconversion militaire;Après 20 ans de service, je souhaite devenir pompier professionnel à Paris, besoin infos sur passerelles et démarches;Planifié;Paris;;PLANNED;;PLANNED;PREFERRED;ALL;1
Véhicule;Pneumatiques;Mes pneus sont usés à Lens, contrôle technique refuse ma voiture, besoin changement 4 pneus rapidement à prix raisonnable;Court terme;Lens;;SHORT_TERM;7.0;SHORT_TERM;PREFERRED;RAPIDE;1
Véhicule;Pneumatiques;Mes pneus sont usés à Marseille, contrôle technique refuse ma voiture, besoin changement 4 pneus rapidement à prix raisonnable;Court terme;Marseille;;SHORT_TERM;7.0;SHORT_TERM;PREFERRED;RAPIDE;1
Famille;Mode de garde partagé;Recherche famille militaire pour garde partagée d'enfants sur Belfort, nos horaires décalés compliquent l'organisation;Standard;Belfort;;STANDARD;;STANDARD;PREFERRED;SEMAINE;2
Famille;Mode de garde partagé;Recherche famille militaire pour garde partagée d'enfants sur Marseille, nos horaires décalés compliquent l'organisation;Standard;Marseille;;STANDARD;;STANDARD;PREFERRED;SEMAINE;2
