Categorie_Majeure;Sous_Categorie;Message_Utilisateur;Niveau_Urgence
Famille;Crèche ou nounou;Bébé de 6 mois, ma conjointe reprend le travail le mois prochain. Recherche mode de garde sur Bordeaux;Court terme
Épargne;Placement financier;Je souhaite investir une prime exceptionnelle de manière sécurisée à Paris pour préparer l'avenir de mes enfants;Standard
Administratif;Passeport express;Départ en mission à l'étranger dans 2 semaines depuis Paris, mon passeport est expiré. Besoin procédure accélérée;Immédiat
Soutien psychologique;Gestion stress opérationnel;Je reviens d'opex à Marseille et j'ai du mal à gérer le stress et le sommeil. Besoin d'un accompagnement spécialisé;Standard
Besoins de dernière minute;Coiffure;Cérémonie militaire demain à Paris, besoin d'une coupe réglementaire en urgence;Immédiat
Logement et Installation;État des lieux;Besoin d'un huissier à Lyon pour état des lieux contradictoire avant remise des clés dans 5 jours;Court terme
Véhicule;Location courte durée;Ma voiture est au garage pour 1 semaine à Paris. Besoin d'un véhicule de location rapidement;Immédiat
Banque et financement;Prêt travaux;Je veux réaliser des travaux d'isolation dans ma maison à Nantes. Recherche prêt à taux avantageux;Standard
Santé;Ophtalmologue;Mes lunettes sont cassées à Paris et j'ai besoin d'une nouvelle ordonnance pour en racheter. RDV rapide souhaité;Court terme
Emploi;Bilan de compétences;Je m'interroge sur ma reconversion après 15 ans dans l'armée à Toulouse. Besoin d'un bilan professionnel;Standard
Famille;Activités périscolaires;Recherche activités sportives et culturelles pour mes enfants suite à notre arrivée à Brest;Standard
Retraite;Construction maison retraite;Je veux faire construire ma maison de retraite en Vendée. Recherche constructeur sérieux;Planifié
Assurance;Prévoyance;Je souhaite souscrire une assurance prévoyance à Bordeaux pour protéger ma famille en cas de coup dur;Standard
Travaux;Installation fibre;Je viens d'emménager à Lyon et je dois installer la fibre pour le télétravail de mon conjoint;Court terme
Administratif;Changement situation familiale;Divorce en cours à Paris, besoin d'aide pour changements administratifs (impôts, CAF, mutuelle);Standard
Véhicule;Reprogrammation moteur;Je souhaite optimiser la consommation de mon véhicule à Lille. Recherche garage spécialisé;Standard
Formation;Langue étrangère;Je vais être muté en Allemagne depuis Paris. Besoin de cours d'allemand intensifs avant mon départ;Court terme
Logement et Installation;Recherche colocation;Jeune militaire célibataire muté sur Lille. Recherche colocation sympa avec d'autres jeunes actifs;Standard
Besoins de dernière minute;Pressing express;Tenue de cérémonie à nettoyer d'urgence à Paris pour événement officiel après-demain;Immédiat
Santé;Kiné urgence;Douleur lombaire intense suite à entraînement à Marseille. Besoin de séances rapidement avant départ mission;Immédiat
Famille;Garde animaux;Départ en mission pour 3 mois depuis Toulon. Recherche famille d'accueil pour mon chien labrador;Court terme
